終値,始値,高値,安値,出来高,MA_5,MA_20,Volatility,PriceRange,変化率 %,DayOfWeek,Month
0.08977647489923049,0.0906791907514451,0.08973438621679827,0.09274935590725063,0.12406564426452557,0.08957993172035032,0.08205452420637202,0.02645768304736872,0.03404255319148954,0.5575447570332481,1,5
0.09454012458776107,0.09140173410404623,0.0918880114860014,0.09348546190651454,0.21869383367208103,0.09128692296274306,0.08343391382646512,0.04067278564756628,0.05106382978723386,0.6211180124223603,2,5
0.09563942836203737,0.09140173410404623,0.092964824120603,0.09422156790577842,0.20304704953555172,0.09277126317351937,0.08487077801406212,0.0507821212982915,0.05531914893617039,0.5571793934965291,3,5
0.09050934408208136,0.09212427745664739,0.09152907394113424,0.09311740890688257,0.21753481262493074,0.09277126317351937,0.08579037109412421,0.0507821212982915,0.051063829787234165,0.45195469492144685,4,5
0.09050934408208136,0.08923410404624277,0.09045226130653264,0.09311740890688257,0.08278601783884569,0.09314234822621346,0.08651838228250666,0.044066481277015436,0.03829787234042547,0.5385458531238583,0,5
0.09050934408208136,0.08959537572254334,0.08937544867193106,0.09238130290761869,0.10441267868241144,0.09329078224729108,0.08728470984922504,0.041464801706497446,0.03404255319148954,0.5385458531238583,1,5
0.09270795163063392,0.0885115606936416,0.09117013639626703,0.09311740890688257,0.11618766062519947,0.09291969719459701,0.08812767017261527,0.03657814541018586,0.04680851063829793,0.576543660942638,2,5
0.09454012458776107,0.08959537572254334,0.09224694903086861,0.09385351490614648,0.21858465052995818,0.09269704616298054,0.08914305419851717,0.02900011185008978,0.05106382978723386,0.5699671172816954,3,5
0.09783803591058998,0.09393063583815028,0.09619526202440773,0.09827015090172984,0.2068768582130919,0.0941813863737569,0.09035002011609863,0.050972549140601495,0.04680851063829793,0.5944464742418707,4,5
0.09893733968486626,0.09754335260115607,0.0972720746590093,0.10121457489878542,0.15422538760015453,0.09588837761614961,0.09148035327700826,0.05833839904291585,0.025531914893616777,0.55681402995981,0,5
