Date,Actual_Prices,Predicted_Prices,Error
2017-01-27,99.5,99.28466076105832,0.21533923894168083
2017-01-30,98.89999999999999,98.0040260463953,0.8959739536046953
2017-01-31,99.6,99.15734593719243,0.4426540628075628
2017-02-01,99.19999999999999,98.25687455534934,0.9431254446506472
2017-02-02,97.19999999999999,96.88484871536492,0.31515128463506414
2017-02-03,97.49999999999999,97.57405589222907,-0.07405589222908304
2017-02-06,96.99999999999999,96.73309813141822,0.266901868581769
2017-02-07,97.49999999999999,96.85278821736573,0.6472117826342583
2017-02-08,96.59999999999998,96.17720390558242,0.4227960944175635
2017-02-09,97.29999999999997,97.03295569121836,0.2670443087816068
2017-02-10,99.1,98.84321486800908,0.2567851319909096
2017-02-13,97.4,96.68403548449277,0.7159645155072383
2017-02-14,95.19999999999999,95.52512818574904,-0.3251281857490511
2017-02-15,95.29999999999998,95.2266288459301,0.07337115406988914
2017-02-16,94.3,94.56623707860707,-0.2662370786070767
2017-02-17,94.2,94.13774714022874,0.06225285977126305
2017-02-20,95.39999999999999,94.62940244078635,0.7705975592136411
2017-02-21,94.5,94.03876787573098,0.46123212426901716
2017-02-22,94.69999999999997,94.32909756302833,0.3709024369716474
2017-02-23,94.99999999999999,94.45133329480886,0.548666705191124
2017-02-24,95.69999999999999,95.29658530801534,0.40341469198465063
2017-02-27,95.8,94.88238514512777,0.9176148548722267
2017-02-28,94.99999999999999,94.8494788095355,0.15052119046448809
2017-03-01,96.19999999999999,95.81904048323631,0.38095951676368145
2017-03-02,96.8,96.5655246913433,0.2344753086566982
2017-03-03,96.8,96.40903253704309,0.3909674629569082
2017-03-06,96.99999999999999,95.93392393440007,1.0660760655999155
2017-03-07,97.8,96.76268211454152,1.037317885458478
2017-03-08,97.19999999999999,96.41897519528865,0.7810248047113362
2017-03-09,97.8,97.23145506829023,0.5685449317097664
2017-03-10,97.9,97.74544373452663,0.1545562654733743
2017-03-13,99.29999999999998,98.16862278878688,1.1313772112131062
2017-03-14,99.19999999999999,97.94931499361991,1.2506850063800812
2017-03-15,98.89999999999999,97.94342666268348,0.9565733373165131
2017-03-16,98.89999999999999,98.05591492950916,0.8440850704908343
2017-03-17,98.2,97.78783321082591,0.4121667891740941
2017-03-21,98.89999999999999,98.23581401258706,0.6641859874129352
2017-03-22,98.49999999999999,98.08090373724698,0.41909626275300127
2017-03-23,98.89999999999999,98.22919370681046,0.6708062931895284
2017-03-24,99.8,99.24565870165824,0.5543412983417539
2017-03-27,98.59999999999998,97.74814390838145,0.8518560916185294
2017-03-28,99.6,98.83916867375373,0.7608313262462616
2017-03-29,98.49999999999999,97.83487072736024,0.6651292726397457
2017-03-30,96.4,96.23852713108062,0.1614728689193896
2017-03-31,94.99999999999999,95.81213552057743,-0.8121355205774421
2017-04-03,96.69999999999999,96.66920486092566,0.030795139074328404
2017-04-04,96.59999999999998,96.24378921687602,0.3562107831239558
2017-04-05,97.8,97.28468590527773,0.515314094722271
2017-04-06,97.19999999999999,97.08336435854434,0.11663564145564465
2017-04-07,97.8,97.83936017304659,-0.0393601730465889
2017-04-10,97.9,97.45089705884456,0.449102941155445
2017-04-11,96.99999999999999,96.40000078082083,0.5999992191791534
2017-04-12,97.4,96.94854679256677,0.45145320743323225
2017-04-13,96.5,96.26190559417009,0.23809440582991215
2017-04-14,94.99999999999999,94.87663507610559,0.12336492389439968
2017-04-17,95.19999999999999,94.66166626513004,0.5383337348699513
2017-04-18,96.09999999999998,95.580888402462,0.5191115975379859
2017-04-19,95.29999999999998,94.63929630070923,0.6607036992907496
2017-04-20,95.39999999999999,95.0649396702647,0.33506032973528477
2017-04-21,95.99999999999997,95.59564582854509,0.4043541714548837
2017-04-24,97.09999999999997,96.551844894886,0.5481551051139633
2017-04-25,95.6,94.79386498779057,0.806135012209424
2017-04-26,94.2,93.86374455839395,0.33625544160605614
2017-04-27,93.69999999999999,93.77336193174123,-0.07336193174124617
2017-04-28,95.39999999999999,95.74998679012059,-0.34998679012059597
2017-05-01,96.19999999999999,95.39593869298696,0.8040613070130291
2017-05-02,96.8,95.86217413395643,0.9378258660435677
2017-05-08,99.6,99.26550741940736,0.334492580592638
2017-05-09,100.2,99.01600972861051,1.18399027138949
2017-05-10,101.0,99.89219174534081,1.10780825465919
2017-05-11,101.7,100.79335443675517,0.9066455632448367
2017-05-12,102.39999999999999,101.76467691659927,0.6353230834007206
2017-05-15,103.1,101.8533760011196,1.2466239988803949
2017-05-16,105.49999999999999,104.46868957281112,1.0313104271888704
2017-05-17,105.29999999999998,104.79331228137015,0.5066877186298342
2017-05-18,104.3,102.80426824986934,1.495731750130659
2017-05-19,104.6,104.27338241934775,0.3266175806522398
2017-05-22,104.5,103.90650849640369,0.5934915035963115
2017-05-23,104.7,103.80768375992774,0.8923162400722617
2017-05-24,104.1,103.04355082511901,1.0564491748809814
2017-05-25,104.9,104.03353866338729,0.8664613366127156
2017-05-26,104.39999999999999,104.00138056874275,0.3986194312572451
2017-05-29,105.0,103.87496851384638,1.1250314861536168
2017-05-30,105.0,103.90371885895728,1.0962811410427236
2017-05-31,106.19999999999997,106.57811093330382,-0.3781109333038444
2017-06-01,107.09999999999998,106.67569131255149,0.4243086874484874
2017-06-02,105.59999999999998,105.20033909082412,0.3996609091758643
2017-06-05,106.9,106.06514296531677,0.8348570346832389
2017-06-06,106.9,106.21950019299983,0.6804998070001744
2017-06-07,105.99999999999999,106.03069948256015,-0.030699482560166302
2017-06-08,105.4,105.39021336436271,0.009786635637297536
2017-06-09,104.8,105.0450872272253,-0.24508722722529797
